timestamp,log_level,endpoint,status_code,latency_ms
2026-09-13 00:00:00,WARN,/api/products,400,581
2026-09-13 00:00:02,INFO,/api/products,201,166
2026-09-13 00:00:04,INFO,/api/payment,200,102
2026-09-13 00:00:06,WARN,/api/payment,404,177
2026-09-13 00:00:08,WARN,/api/cart,404,149
2026-09-13 00:00:10,WARN,/api/logout,400,448
2026-09-13 00:00:12,INFO,/api/login,200,585
2026-09-13 00:00:14,WARN,/api/payment,400,155
2026-09-13 00:00:16,ERROR,/api/cart,500,533
2026-09-13 00:00:18,ERROR,/api/products,500,391
2026-09-13 00:00:20,INFO,/api/login,200,292
2026-09-13 00:00:22,ERROR,/api/cart,500,160
2026-09-13 00:00:24,INFO,/api/login,201,187
2026-09-13 00:00:26,WARN,/api/products,404,99
2026-09-13 00:00:28,WARN,/api/login,404,381
2026-09-13 00:00:30,INFO,/api/login,200,425
2026-09-13 00:00:32,INFO,/api/login,200,393
2026-09-13 00:00:34,WARN,/api/cart,404,256
2026-09-13 00:00:36,WARN,/api/products,404,63
2026-09-13 00:00:38,INFO,/api/products,200,204
2026-09-13 00:00:40,INFO,/api/login,200,285
2026-09-13 00:00:42,ERROR,/api/payment,500,523
2026-09-13 00:00:44,INFO,/api/logout,200,140
2026-09-13 00:00:46,WARN,/api/logout,404,243
2026-09-13 00:00:48,WARN,/api/logout,404,516
2026-09-13 00:00:50,ERROR,/api/logout,500,364
2026-09-13 00:00:52,INFO,/api/logout,200,368
2026-09-13 00:00:54,ERROR,/api/payment,500,337
2026-09-13 00:00:56,WARN,/api/products,400,388
2026-09-13 00:00:58,INFO,/api/login,200,229
2026-09-13 00:01:00,ERROR,/api/logout,500,294
2026-09-13 00:01:02,WARN,/api/products,400,147
2026-09-13 00:01:04,INFO,/api/products,200,344
2026-09-13 00:01:06,INFO,/api/logout,200,502
2026-09-13 00:01:08,ERROR,/api/products,500,181
2026-09-13 00:01:10,INFO,/api/payment,200,72
2026-09-13 00:01:12,INFO,/api/payment,200,212
2026-09-13 00:01:14,INFO,/api/products,200,503
2026-09-13 00:01:16,INFO,/api/products,200,169
2026-09-13 00:01:18,INFO,/api/payment,201,446
2026-09-13 00:01:20,INFO,/api/payment,200,499
2026-09-13 00:01:22,ERROR,/api/logout,500,228
2026-09-13 00:01:24,ERROR,/api/products,500,127
2026-09-13 00:01:26,INFO,/api/login,200,563
2026-09-13 00:01:28,WARN,/api/cart,400,549
2026-09-13 00:01:30,INFO,/api/cart,200,59
2026-09-13 00:01:32,WARN,/api/logout,400,481
2026-09-13 00:01:34,INFO,/api/cart,201,510
2026-09-13 00:01:36,WARN,/api/cart,404,394
2026-09-13 00:01:38,INFO,/api/cart,200,373
2026-09-13 00:01:40,INFO,/api/cart,201,475
2026-09-13 00:01:42,ERROR,/api/payment,500,109
2026-09-13 00:01:44,WARN,/api/cart,400,68
2026-09-13 00:01:46,INFO,/api/logout,201,268
2026-09-13 00:01:48,WARN,/api/logout,400,555
2026-09-13 00:01:50,WARN,/api/payment,400,486
